type1,type1_states,type1_transitions,type2,type2_states,type2_transitions
NFA,2,2,DFA,2,2
NFA,2,2,DFA,3,3
NFA,2,3,DFA,2,2
NFA,2,2,DFA,2,2
NFA,2,3,DFA,2,2
NFA,2,3,DFA,2,2
NFA,2,4,DFA,2,2
NFA,2,2,DFA,3,3
NFA,2,3,DFA,2,2
NFA,2,3,DFA,3,3
NFA,2,4,DFA,2,2
NFA,2,3,DFA,2,2
NFA,2,4,DFA,2,2
NFA,2,4,DFA,2,2
NFA,2,5,DFA,2,2
NFA,2,2,DFA,1,1
NFA,2,2,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,2,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,4,DFA,1,1
NFA,2,2,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,4,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,4,DFA,1,1
NFA,2,4,DFA,1,1
NFA,2,5,DFA,1,1
NFA,2,3,DFA,3,6
NFA,2,3,DFA,3,6
NFA,2,4,DFA,2,4
NFA,2,3,DFA,3,6
NFA,2,4,DFA,3,6
NFA,2,4,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,3,DFA,3,6
NFA,2,4,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,4,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,2,DFA,2,2
NFA,2,2,DFA,3,3
NFA,2,3,DFA,2,2
NFA,2,2,DFA,2,2
NFA,2,3,DFA,2,2
NFA,2,3,DFA,2,2
NFA,2,4,DFA,2,2
NFA,2,2,DFA,3,3
NFA,2,3,DFA,2,2
NFA,2,3,DFA,3,3
NFA,2,4,DFA,2,2
NFA,2,3,DFA,2,2
NFA,2,4,DFA,2,2
NFA,2,4,DFA,2,2
NFA,2,5,DFA,2,2
NFA,2,3,DFA,2,2
NFA,2,3,DFA,3,3
NFA,2,4,DFA,2,2
NFA,2,3,DFA,2,2
NFA,2,4,DFA,2,2
NFA,2,4,DFA,2,2
NFA,2,5,DFA,2,2
NFA,2,3,DFA,3,3
NFA,2,4,DFA,2,2
NFA,2,4,DFA,3,3
NFA,2,5,DFA,2,2
NFA,2,4,DFA,2,2
NFA,2,5,DFA,2,2
NFA,2,5,DFA,2,2
NFA,2,6,DFA,2,2
NFA,2,3,DFA,3,6
NFA,2,3,DFA,3,6
NFA,2,4,DFA,2,4
NFA,2,3,DFA,3,6
NFA,2,4,DFA,3,6
NFA,2,4,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,3,DFA,3,6
NFA,2,4,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,4,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,4,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,5,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,5,DFA,3,6
NFA,2,6,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,7,DFA,2,4
NFA,2,2,DFA,1,1
NFA,2,2,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,2,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,4,DFA,1,1
NFA,2,2,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,4,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,4,DFA,1,1
NFA,2,4,DFA,1,1
NFA,2,5,DFA,1,1
NFA,2,3,DFA,3,6
NFA,2,3,DFA,3,6
NFA,2,4,DFA,2,4
NFA,2,3,DFA,3,6
NFA,2,4,DFA,3,6
NFA,2,4,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,3,DFA,3,6
NFA,2,4,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,4,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,3,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,4,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,4,DFA,1,1
NFA,2,4,DFA,1,1
NFA,2,5,DFA,1,1
NFA,2,3,DFA,1,1
NFA,2,4,DFA,1,1
NFA,2,4,DFA,1,1
NFA,2,5,DFA,1,1
NFA,2,4,DFA,1,1
NFA,2,5,DFA,1,1
NFA,2,5,DFA,1,1
NFA,2,6,DFA,1,1
NFA,2,4,DFA,3,6
NFA,2,4,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,5,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,5,DFA,3,6
NFA,2,6,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,7,DFA,2,4
NFA,2,3,DFA,3,6
NFA,2,3,DFA,3,6
NFA,2,4,DFA,2,4
NFA,2,3,DFA,3,6
NFA,2,4,DFA,3,6
NFA,2,4,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,3,DFA,3,6
NFA,2,4,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,4,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,4,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,5,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,5,DFA,3,6
NFA,2,6,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,7,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,4,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,5,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,4,DFA,3,6
NFA,2,5,DFA,2,4
NFA,2,5,DFA,3,6
NFA,2,6,DFA,2,4
NFA,2,5,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,7,DFA,2,4
NFA,2,5,DFA,3,6
NFA,2,5,DFA,3,6
NFA,2,6,DFA,2,4
NFA,2,5,DFA,3,6
NFA,2,6,DFA,3,6
NFA,2,6,DFA,2,4
NFA,2,7,DFA,2,4
NFA,2,5,DFA,3,6
NFA,2,6,DFA,2,4
NFA,2,6,DFA,3,6
NFA,2,7,DFA,2,4
NFA,2,6,DFA,2,4
NFA,2,7,DFA,2,4
NFA,2,7,DFA,2,4
NFA,2,8,DFA,2,4
